trip_id,driver_id,rider_id,device_id,pickup_location,dropoff_location,distance_km,fare_amount,payment_method,pickup_time,dropoff_time,fraud_flag,fraud_type
52,c4089f27-d2d2-422d-923c-037355879229,f5ca726f-920d-46b3-b423-4f39e33fbe9a,7fb41f81-2432-421d-ae42-74fdfd58c712,"28.6009130143157,77.16964716524755","28.703937410364126,77.32060878174009",18.28,149.41,cash,2025-08-09 07:50:11.863886,2025-08-09 08:12:11.863886,0,legit
53,bfdd527c-39a7-4cea-8543-f239d7b118ea,b711c20f-f376-4dcb-9448-1b4911f30784,7df13632-b697-4b38-ad10-3988395ceb52,"28.517888315591634,77.16394970886351","28.53127329895966,77.23442804866895",7.17,58.21,cash,2025-07-14 11:22:43.174385,2025-07-14 12:19:43.174385,0,legit
54,f82ce56a-a0e7-4c29-85bd-92956e47d831,10b84b0a-fcbc-4b37-9994-09a375669f45,9852a9a7-0676-4e3f-b4a1-d74b73d98ed6,"28.69484830521606,77.19476124807277","28.5153223349346,77.20874750760196",18.01,158.86,cash,2025-09-05 22:12:47.689088,2025-09-05 22:54:47.689088,0,legit
55,e95a7ed4-110f-42e1-af39-6cb1f6e29561,71217a4e-18ce-4551-82d0-cd45f76f99a8,bda03610-c456-4e96-a0b4-57ddbf37650b,"28.705936283165,77.26636825424245","28.622394006191573,77.19865019331446",10.75,92.15,wallet,2025-08-09 01:24:58.949685,2025-08-09 01:52:58.949685,0,legit
56,00a73ead-da26-44c3-a60c-6901a6742ad0,786858a4-0cfc-4c63-96c8-7654ff5efb92,b5391ba3-7078-400e-afd8-819bebcb655e,"28.618213231938835,77.26602128670065","28.636952241300765,77.26249315857966",0.38,346.39,card,2025-08-11 11:39:16.963423,2025-08-11 12:19:16.963423,1,rider_driver_repeat
57,962f9224-7f56-4844-a368-784aa38ecd31,fd2490a0-2790-4641-875e-9bd0a1fec9ef,c1b02ae2-d98b-499f-838d-08a21b0eba03,"28.637328904819896,77.25112685209517","28.599621147543274,77.15392291035062",10.43,106.26,card,2025-09-03 22:15:09.225820,2025-09-03 22:56:09.225820,0,legit
58,e53d454a-ab4d-4b03-b1dc-0449ef9d1893,974455b5-7b90-47ea-a059-b425021c513f,37257643-3045-4922-9631-8980de4fa2c1,"28.612301213321768,77.32814915158514","28.550278928979584,77.14866490423323",18.99,158.85,wallet,2025-07-04 04:42:50.035445,2025-07-04 05:13:50.035445,0,legit
59,b75b512a-8b0d-4b63-9945-f03f49a1d53f,8382b0ff-4264-4ace-9b68-54a182825562,15fc4022-6ced-43ee-a78a-334d4beb5ef1,"28.703865230905343,77.16375780845866","28.69904596309436,77.27174349229993",10.81,112.14,wallet,2025-06-22 09:23:32.969346,2025-06-22 09:34:32.969346,0,legit
60,4ef38a11-0d41-4b32-a4b9-6ccb1c38c7fb,0b9c68c1-1b38-446a-b130-4ea41424e04f,f5e508c9-8052-4097-b0ca-57572d5c7d3a,"28.7026934196315,77.18140224021914","28.5112272811145,77.24342085459851",20.13,168.39,card,2025-06-11 23:32:11.030451,2025-06-12 00:05:11.030451,0,legit
61,104614be-b16f-49be-8304-b1ad85897b7e,7f2c3e2b-026b-448c-93d2-43577d181b0c,fe1d9669-7038-4fe0-9206-8d48cfbfda99,"28.65084707369618,77.19833000894083","28.70642468245345,77.14284867329307",7.85,67.78,card,2025-08-03 06:32:05.910176,2025-08-03 07:24:05.910176,0,legit
62,6f740a50-e574-493d-aded-1a9520874582,a56d945d-0d25-4d02-b09a-4cb46743a816,8f468473-2b71-4708-8f47-9e1d85201437,"28.524504912244538,77.19140026548011","28.630694478230925,77.14169767668733",11.72,112.29,cash,2025-07-13 10:44:15.271112,2025-07-13 11:26:15.271112,0,legit
63,de0ea001-e864-4aec-a951-64a70012b28c,554ff143-82bd-4869-8159-4f9e84018cfb,d1d510a5-28bd-41cb-b28e-e2f06f88e270,"28.616607371743537,77.17572237872683","28.62016428468281,77.32693040384221",15.12,143.1,cash,2025-06-30 03:08:28.172343,2025-06-30 04:06:28.172343,0,legit
64,63760838-7700-43c9-a5c0-94cab9aee7c3,0b3b438e-eb4e-43a1-a6aa-41f1b6a7b481,d98d9900-7408-4b2f-bba2-7e60ccd88f67,"28.69238650989953,77.13375508319454","28.678514273239596,77.26925791932811",13.62,153.93,wallet,2025-08-26 11:57:09.954834,2025-08-26 12:38:09.954834,0,legit
65,6894d572-7c4f-4d44-9d14-6a5ff120cb58,6b7325cf-9630-46ff-a5c6-2e9aa1490bb3,d1dd628c-93a3-49a7-a17e-c88a349cee4d,"28.598152455738525,77.30221886003724","28.564781750487132,77.2234779561912",8.55,79.3,cash,2025-07-23 05:25:20.168138,2025-07-23 06:14:20.168138,0,legit
66,24e35e69-2238-47ab-82e2-1c2d240a7f0c,bbce1fb1-e33e-45d5-b277-756bcd0d21e9,60b2e4b2-3117-4c6d-9dcd-9ff9332de093,"28.535675979023747,77.21000453292419","28.561962545094186,77.30285156647888",9.65,105.72,wallet,2025-08-31 17:06:50.106019,2025-08-31 17:21:50.106019,0,legit
67,b049bd5e-cdc5-4f8d-b807-073554fae65b,b3db31e9-03c4-469c-b148-876cf2f4f422,shared_device_999,"28.525351622955196,77.26116365221617","28.528997052038314,77.17624727541438",8.5,86.12,cash,2025-07-09 19:21:56.368323,2025-07-09 19:43:56.368323,1,device_reuse
68,3ff0c20a-2cbc-47b3-8b48-4833efed3661,1cd89fa3-f217-4ce4-b9fa-b28cf9a94050,ae3e431f-afd9-4df6-8767-edc4a3f9237c,"28.58376292365614,77.29015928689996","28.672246648950335,77.22325027965456",11.09,118.91,card,2025-09-06 22:34:09.427938,2025-09-06 23:15:09.427938,0,legit
69,3bae5791-717c-411c-9ab6-a8e51e445627,a438b5d8-0c32-491d-87b4-fa93710b023c,d4047739-dde8-4d65-b4fc-1a1f4ef58174,"28.564788686138165,77.29837979294524","28.529366907981235,77.18440593207434",11.94,104.05,wallet,2025-07-25 12:47:21.170988,2025-07-25 13:24:21.170988,0,legit
70,08ba57f7-be9c-43df-a845-8c1234118041,0c1fdec4-fe36-4f66-84d6-5bd8396e8022,96b323d6-f31a-4725-b25c-337286f6ab5c,"28.708932495361342,77.1536593436712","28.536767056969374,77.19607457330827",17.73,179.01,wallet,2025-08-02 04:50:14.739591,2025-08-02 05:02:14.739591,0,legit
71,c3ed2056-aa6a-4732-91e3-36614309c07e,4757e2df-d2e8-455d-97b9-24c315da1add,045af7ef-e94f-47e4-b1d1-de3af732ca78,"28.681830908755064,77.17047785134702","28.546637408057446,77.15205599042902",13.64,129.51,wallet,2025-07-20 07:53:29.343186,2025-07-20 08:32:29.343186,0,legit
72,75ef4579-e0ed-4581-8318-0b430d2d0e34,b6e2288b-9c3d-47a0-ac41-61dc4dc26f4e,e92030ba-a5de-4c2a-9281-8c391fdaa447,"28.684253493826333,77.28267761981824","28.679793345543047,77.19655075970701",8.62,85.5,wallet,2025-07-08 11:25:11.414423,2025-07-08 12:04:11.414423,0,legit
73,ced4ddd2-b77d-48d9-88eb-c0a77bf6179e,c8517336-2bd7-4d17-bb9e-01dfdbe8ba88,5d208614-8ae8-49da-9ad8-602e7fe4f1b9,"28.69601622815926,77.23706249709275","28.51892435942482,77.29114397568142",18.52,202.2,wallet,2025-06-23 10:01:24.365460,2025-06-23 10:16:24.365460,0,legit
74,9d397269-344f-45a3-8b9f-7dbd048c3bc6,6f64f65d-b7a9-4d88-82d5-aea24926d4c9,591439ae-48a4-48c7-91e5-8b97751f32ce,"28.564198150464,77.22951660269366","28.590037068496738,77.21892324589592",2.79,31.99,card,2025-06-24 21:38:10.407469,2025-06-24 22:06:10.407469,0,legit
75,702782fe-3ca3-4827-8d7c-dc5dad7650de,20f11cd8-8cc7-4231-a7bb-3556837fb941,18e91ef3-8b9d-4903-aa68-fd3735f3ff68,"28.58086610415482,77.25598392605782","28.70039971686128,77.14405328714808",16.38,195.8,cash,2025-09-08 03:42:22.078765,2025-09-08 04:02:22.078765,0,legit
76,0a896c0f-e594-429a-b28f-cf161b35edf0,88888ea4-15a0-4d7f-8c18-dd869f00aef3,078431cf-878c-4d03-9788-f52846d7758e,"28.540651496840137,77.21180919742226","28.68812706978771,77.17176386815756",15.28,169.24,card,2025-07-11 11:02:50.754148,2025-07-11 11:38:50.754148,0,legit
77,ccc16aa8-0027-443b-9af5-b7515c44b9a5,66e410a0-4919-4e98-b751-4d7ee47c1090,8af2108e-a4be-4a8f-be3e-51935a9a2763,"28.541254607764802,77.15612673654194","28.6648848752187,77.17344622444064",12.48,115.72,wallet,2025-08-14 20:43:38.183096,2025-08-14 20:48:38.183096,0,legit
78,fraud_driver_456,fraud_rider_123,ec79eced-95b2-4042-936c-5f5a044c348b,"28.58534083972417,77.27243528833979","28.539877539172657,77.24579148072347",5.27,59.0,cash,2025-08-10 07:58:04.160385,2025-08-10 08:48:04.160385,1,device_reuse
79,fadff2c9-4691-4d8a-9817-e034c4cce9c7,74a4d308-8bcc-42c9-bcaa-009c2e3df564,ba749126-f4e8-4328-b4c6-e8b7fa265285,"28.636624114805954,77.26314794071874","28.64736655996272,77.25545250744118",1.32,13.08,card,2025-08-14 15:49:16.969453,2025-08-14 16:20:16.969453,0,legit
80,42d743cc-401e-4989-86af-325c0b768860,8e245022-1699-4c58-b9b5-718d61a4f7e5,c8fd2a89-e1f1-4c16-8b40-a5cad26d17e5,"28.516286468861033,77.23041860857313","28.596553084099803,77.16132440870966",10.59,96.71,cash,2025-08-13 11:27:47.603283,2025-08-13 12:02:47.603283,0,legit
81,a0b2e605-72f9-4441-86b8-141856190b0e,459993cf-bcf3-469c-9017-37b6228f4d6f,95f61684-3667-403c-a03f-660402ea29a9,"28.55418533644171,77.13883937965072","28.68243507060091,77.31768471634356",22.01,253.76,wallet,2025-07-28 17:29:59.862595,2025-07-28 17:35:59.862595,0,legit
82,3945bd0f-9a22-40a1-9269-99eceddc1be3,5be3ed5b-ceea-401c-8a49-f2992e8305f3,dc4c08aa-3f39-4c47-b1df-0586cbc559bf,"28.57331059772067,77.21035861770443","28.630807416141977,77.18168875704241",6.42,58.96,cash,2025-08-27 06:49:47.194598,2025-08-27 07:29:47.194598,0,legit
83,55788786-a5e4-43fc-96c4-fb3169ff7f82,b5b6cae6-2f2f-400e-9ee3-d294aecc82a0,5b5fc579-c7c6-4a95-8958-2ef7c094267b,"28.593664098168123,77.25830016407649","28.541137296201743,77.14090451926869",12.86,134.39,wallet,2025-07-05 21:09:25.942025,2025-07-05 21:29:25.942025,0,legit
84,33c67a28-4e10-480f-84ea-36ac3977b583,8b2fe9d3-8a3a-47e7-ae75-2f9c87c2bbfb,76c27df1-76db-44da-8b30-00a4636bce9f,"28.673996069776106,77.23257646006768","28.55719458140685,77.1872458443957",12.53,127.98,wallet,2025-06-12 19:20:45.215367,2025-06-12 19:36:45.215367,0,legit
85,c8134f56-d85c-4229-b6f8-19672317fd85,4977e637-d009-484c-971d-c36cda5a9025,727422ae-ed07-4ab0-bb72-b4acad7a8d57,"28.64574778150617,77.2784502477594","28.704352803252416,77.13057266726098",15.91,154.65,cash,2025-08-13 03:35:01.450753,2025-08-13 04:04:01.450753,0,legit
